    0.62   12.02    2.66 1
    0.46   12.38    3.53 2
    1.08   12.72    2.19 2
    9.44    5.66    0.12 1
   10.02    6.23    0.61 2
    9.24    6.15   -0.68 2
    9.14    1.14    6.26 1
    9.53    0.43    6.76 2
    8.21    1.09    6.45 2
    9.68    9.72    5.52 1
    9.33    9.36    4.71 2
    9.00    9.52    6.18 2
    2.47    3.02    3.49 1
    2.69    3.07    2.56 2
    1.52    3.07    3.52 2
   10.93    4.57    8.16 1
   10.21    3.99    8.41 2
   11.19    4.28    7.29 2
    8.39    3.35    3.69 1
    8.78    4.12    3.29 2
    9.04    2.66    3.55 2
    5.47    7.07    2.58 1
    5.94    6.32    2.21 2
    4.55    6.85    2.47 2
    0.91    5.13   11.00 1
    0.82    4.77   10.12 2
    1.50    5.88   10.89 2
    2.79    7.23    9.95 1
    3.31    6.97    9.19 2
    2.02    7.67    9.57 2
    4.78   12.23    0.62 1
    4.99   13.00    1.15 2
    4.98   11.48    1.19 2
    8.42    3.21    8.39 1
    7.83    3.91    8.10 2
    8.49    2.63    7.63 2
   12.16    8.05    6.25 1
   11.21    8.11    6.14 2
   12.46    7.50    5.53 2
    3.57    4.02    0.44 1
    4.35    3.54    0.19 2
    2.98    3.94   -0.32 2
    6.03    5.84   10.06 1
    6.79    5.72   10.62 2
    6.36    5.72    9.17 2
    7.00    7.35    4.96 1
    6.31    7.33    4.30 2
    6.80    8.12    5.50 2
    0.54    0.16    5.44 1
    0.95    0.87    5.92 2
    0.92   -0.63    5.81 2
    3.89   11.43    4.65 1
    3.28   10.97    5.23 2
    4.69   10.91    4.68 2
    6.27   12.20    7.69 1
    6.90   11.86    8.33 2
    5.49   12.41    8.21 2
    1.75    2.31    6.58 1
    1.50    3.01    7.19 2
    2.07    2.77    5.81 2
    6.12   10.07    5.35 1
    6.21   10.71    6.06 2
    6.76   10.35    4.70 2
    8.22    1.27   11.31 1
    7.66    0.52   11.09 2
    8.40    1.70   10.48 2
    0.91    7.22    3.84 1
    1.29    8.10    3.77 2
    1.47    6.68    3.29 2
    3.72    8.58    6.37 1
    4.54    9.01    6.15 2
    3.06    9.27    6.33 2
    5.37    9.87    1.91 1
    6.23   10.23    2.14 2
    5.40    8.97    2.24 2
    1.77   10.57   10.85 1
    1.25    9.93   10.36 2
    2.55   10.08   11.13 2
    6.46   11.74   11.08 1
    6.08   10.97   10.66 2
    5.80   12.01   11.73 2
   11.26    8.10   10.83 1
   11.59    7.81   11.68 2
   11.35    9.06   10.85 2
    5.94    9.69    9.31 1
    5.20   10.12    8.89 2
    5.55    9.16   10.01 2
    6.39    1.42    2.33 1
    7.06    2.00    2.70 2
    5.67    1.44    2.96 2
   11.45    3.67    0.40 1
   11.93    4.27   -0.17 2
   10.55    3.98    0.38 2
   11.93    3.14    3.16 1
   12.00    3.49    2.27 2
   11.68    2.22    3.04 2
   10.04    0.39    0.59 1
    9.32    0.72    0.05 2
   10.48    1.18    0.91 2
   10.22   10.84    2.75 1
   11.15   10.96    2.94 2
   10.11   11.20    1.87 2
   10.71    7.72    1.20 1
   10.49    7.37    2.06 2
   10.41    8.63    1.24 2
    4.57    1.72    4.51 1
    4.38    0.79    4.63 2
    3.76    2.09    4.18 2
   11.82   10.41    0.13 1
   11.39   11.22   -0.17 2
   12.72   10.67    0.32 2
    8.89   10.42   11.58 1
    7.98   10.68   11.63 2
    8.90    9.50   11.84 2
    3.27   10.90    8.54 1
    3.42   11.79    8.22 2
    2.86   11.02    9.40 2
    1.62    8.31    0.31 1
    1.09    9.00   -0.10 2
    1.93    8.71    1.13 2
   11.94    1.62   11.23 1
   11.78    2.44   11.68 2
   11.07    1.25   11.08 2
    1.62    1.23    0.65 1
    1.11    1.05   -0.14 2
    2.53    1.14    0.39 2
    2.95    6.29    1.79 1
    3.00    5.43    1.38 2
    2.57    6.85    1.12 2
    7.56   11.01    2.84 1
    8.50   11.13    2.74 2
    7.19   11.89    2.75 2
    7.20    8.43    0.53 1
    7.10    7.50    0.70 2
    6.37    8.82    0.80 2
    9.16    6.23    9.65 1
    9.67    5.69    9.04 2
    9.65    7.05    9.71 2
    6.46    2.94    5.84 1
    7.08    3.10    5.12 2
    5.70    2.53    5.41 2
    4.63    8.65   11.35 1
    3.91    8.07   11.09 2
    5.35    8.06   11.55 2
    8.78   11.45    9.04 1
    8.98   10.98    9.84 2
    9.63   11.55    8.60 2
   10.67   11.54    7.19 1
   11.37   11.84    6.61 2
   10.21   10.87    6.68 2
    8.11    9.28    7.69 1
    7.61    8.82    8.36 2
    8.41   10.08    8.12 2
    9.38    6.57    3.88 1
    8.60    6.85    4.37 2
    9.95    6.17    4.53 2
    4.01    1.42    7.80 1
    4.70    1.87    7.31 2
    3.19    1.71    7.39 2
   10.19    1.00    3.78 1
    9.86    1.04    4.68 2
   10.23    0.07    3.58 2
   11.66    4.79    5.30 1
   11.67    4.05    4.69 2
   12.48    5.25    5.12 2
    3.66    5.82    7.47 1
    3.35    6.52    6.89 2
    4.62    5.86    7.39 2
    6.01    2.69   12.03 1
    6.79    2.17   11.83 2
    5.60    2.84   11.18 2
    6.49    5.25    7.38 1
    6.33    4.57    6.73 2
    6.86    5.98    6.88 2
    6.87    5.31    0.94 1
    6.66    4.41    0.69 2
    7.81    5.39    0.79 2
    4.43    3.37   10.04 1
    4.47    2.81    9.26 2
    4.90    4.17    9.78 2
    1.50   10.19    6.52 1
    0.93    9.44    6.34 2
    1.66   10.16    7.46 2
    1.41    4.31    8.31 1
    2.34    4.56    8.30 2
    0.94    5.15    8.30 2
    0.51    8.50    8.79 1
   -0.22    8.35    9.39 2
    0.14    8.32    7.92 2
    2.24    9.78    2.84 1
    3.12   10.10    2.63 2
    1.67   10.54    2.73 2
